요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
21세기메디칼약국,81,약국,110000,서울,110011,성동구,금호동2가,04726,"서울특별시 성동구 무수막길 97, (금호동2가)",02-2252-6626,1975-10-28,127.0198695,37.5543387
21세기메디칼약국,81,약국,110000,서울,110002,강동구,길동,05350,"서울특별시 강동구 천호대로 1199, (길동)",02-487-9366,2008-05-15,127.1441653,37.5350948
21세기박약국,81,약국,350000,전북,350600,김제시,요촌동,54391,"전북특별자치도 김제시 서낭당길 3, (요촌동)",063-547-2386,2006-06-27,126.8850986,35.8012861
21세기분당종로약국,81,약국,310000,경기,310403,성남분당구,야탑동,13497,"경기도 성남시 분당구 야탑로81번길 10, 303-1호 (야탑동, 아미고타워)",031-622-1100,2009-01-02,127.1282197,37.4105955
21세기상계약국,81,약국,110000,서울,110022,노원구,상계동,01674,"서울특별시 노원구 동일로 1548, (상계동)",937-2288,2005-04-01,127.0576424,37.6666795
21세기세계로약국,81,약국,310000,경기,310402,성남중원구,금광동,13180,"경기도 성남시 중원구 산성대로372번길 14, 1층 (금광동, 동성빌딩)",031-743-0624,1999-10-05,127.1585912,37.4447568
21세기약국,81,약국,220000,인천,220008,인천계양구,계산동,21039,"인천광역시 계양구 경명대로 1055, (계산동)",032-554-4577,2015-05-26,126.7242851,37.5437622
21세기약국,81,약국,220000,인천,220006,인천남동구,만수동,21524,"인천광역시 남동구 만수로 47, 102호 (만수동)",467-7582,2000-12-01,126.7335641,37.4605429
21세기약국,81,약국,240000,광주,240003,광주서구,풍암동,62048,"광주광역시 서구 금화로 240, 월드컵경기장 2층 (풍암동)",062-652-8825,2018-09-28,126.8748916,35.1337232
21세기약국,81,약국,110000,서울,110013,영등포구,신길동,07391,"서울특별시 영등포구 여의대방로 177, (신길동)",02-2678-2854,1983-12-08,126.9211838,37.5029585
21세기약국,81,약국,110000,서울,110004,관악구,신림동,08753,"서울특별시 관악구 신림로 370, (신림동)",02-888-2272,2003-06-24,126.9291421,37.4873619
21세기약국,81,약국,310000,경기,310602,수원장안구,천천동,16329,"경기도 수원시 장안구 만석로19번길 25-10, 롯데마트 1층 (천천동)",031-269-5640,2019-06-01,126.9823913,37.2961344
21세기약국,81,약국,310000,경기,310603,수원팔달구,팔달로3가,16261,"경기도 수원시 팔달구 정조로 775, 102호 (팔달로3가)",242-3991,2017-03-20,127.0161571,37.2771889
21세기약국,81,약국,110000,서울,110023,광진구,중곡동,04923,"서울특별시 광진구 용마산로 49, (중곡동)",2201-9469,2003-02-27,127.0876136,37.5579935
21세기약국,81,약국,360000,전남,360400,순천시,장천동,57959,"전라남도 순천시 팔마로 22, (장천동)",061-743-0307,1998-04-14,127.4906501,34.9463371
21세기약국,81,약국,320000,강원,320500,춘천시,후평동,24302,"강원특별자치도 춘천시 보안길 64-1, (후평동)",033-255-0990,2004-02-27,127.7506266,37.8802266
21세기약국,81,약국,370000,경북,370200,구미시,송정동,39287,"경상북도 구미시 신시로 78, 1층 (송정동)",054-452-2121,1999-12-06,128.3396699,36.1148507
21세기약국,81,약국,230000,대구,230007,대구달서구,용산동,42617,"대구광역시 달서구 성지로 78, (용산동)",053-588-3377,2017-11-07,128.5213295,35.8562054
21세기약국,81,약국,370000,경북,370500,영주시,영주동,36100,"경상북도 영주시 구성로 333, (영주동)",054-632-7677,2000-10-24,128.6243589,36.8219064
21세기약국,81,약국,210000,부산,210003,부산동래구,온천동,47727,"부산광역시 동래구 중앙대로 1393, 1층 (온천동)",051-668-2751,2008-05-27,129.0774798,35.2117080
21세기연세약국,81,약국,310000,경기,310403,성남분당구,서현동,13577,"경기도 성남시 분당구 서현로321번길 10, 1층 (서현동)",031-707-7990,2016-03-29,127.1360479,37.3799841
21세기우리네약국,81,약국,210000,부산,210001,부산남구,문현동,48421,"부산광역시 남구 수영로 43, (문현동)",051-646-8260,2003-06-02,129.0726721,35.1367055
21세기종합약국,81,약국,350000,전북,350402,전주덕진구,금암동,54931,"전북특별자치도 전주시 덕진구 기린대로 400-8, (금암동)",063-274-4949,1994-09-09,127.1328428,35.8380352
21세기청학보건당약국,81,약국,310000,경기,311500,남양주시,별내면,12084,"경기도 남양주시 별내면 청학로중앙길 9, (청화빌딩 1층)",031-821-1653,2000-05-09,127.1184072,37.7086991
228약국,81,약국,230000,대구,230006,대구중구,동성로2가,41938,"대구광역시 중구 동성로2길 95, 동성로 엔터테인먼트몰 1층 (동성로2가)",053-422-2228,2020-08-13,128.5968649,35.8701805
24시새벽약국,81,약국,240000,광주,240004,광주광산구,장덕동,62222,"광주광역시 광산구 장덕로95번길 16, 207동 107호 (장덕동, 수완2차숲안애)",062-954-4500,2018-12-24,126.8203166,35.1967605
24시약국,81,약국,110000,서울,110023,광진구,화양동,05018,"서울특별시 광진구 아차산로29길 15, 1층 (화양동)",02-945-6363,2024-09-11,127.0682989,37.5416375
24시약국,81,약국,380000,경남,380800,통영시,무전동,53037,"경상남도 통영시 안개로 9, 102호 (무전동)",055-642-4006,2007-02-05,128.4294030,34.8576025
25시약국,81,약국,210000,부산,210002,부산동구,범일동,48738,"부산광역시 동구 조방로 45, (범일동)",051-642-1253,1993-05-01,129.0602838,35.1404990
2동탄약국,81,약국,310000,경기,312500,화성시,영천동,18472,"경기도 화성시 동탄순환대로 685, 111호 (영천동)",031-375-1119,2018-08-30,127.1109261,37.2059564
2층 리본약국,81,약국,310000,경기,310702,안양동안구,호계동,14072,"경기도 안양시 동안구 평촌대로217번길 45, 평촌코아주차빌딩 211호 (호계동)",031-381-6366,2020-11-16,,
2층 초록약국,81,약국,110000,서울,110013,영등포구,영등포동3가,07304,"서울특별시 영등포구 영중로 12, 에쉐르아이 시네마 쇼핑몰 지상 2층 (영등포동3가)",,2024-04-18,126.9065192,37.5176345
2층다온약국,81,약국,110000,서울,110012,성북구,길음동,02722,"서울특별시 성북구 길음로 11, 근린생활시설동2층 226호 (길음동, 길음역롯데캐슬트윈골드아파트)",02-915-0022,2019-07-01,127.0234729,37.6038013
2층로하약국,81,약국,210000,부산,210004,부산진구,부전동,47245,"부산광역시 부산진구 중앙대로 736, 2층 (부전동)",051-816-9993,2023-07-19,129.0599753,35.1582541
2층바로약국,81,약국,110000,서울,110009,마포구,신공덕동,04195,"서울특별시 마포구 백범로 199, 메트로디오빌 2층 203호 (신공덕동)",,2024-06-14,126.9528519,37.5435256
2층바른약국,81,약국,110000,서울,110017,중구,신당동,04598,"서울특별시 중구 다산로11길 3, 2층 (신당동, 약수JK빌딩)",02-2233-6267,2016-08-16,127.0100409,37.5544220
2층봄약국,81,약국,110000,서울,110002,강동구,둔촌동,05409,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 2층 2062호 (둔촌동)",,2025-03-06,127.1370449,37.5274745
2층소망약국,81,약국,110000,서울,110020,양천구,신월동,07936,"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",2608-8096,2010-03-02,126.8422094,37.5242374
2층스타약국,81,약국,110000,서울,110015,은평구,진관동,03306,"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",02-357-8889,2022-05-06,126.9180011,37.6350853
2층써밋약국,81,약국,110000,서울,110014,용산구,한강로2가,04378,"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",02-797-8920,2018-11-16,126.9651744,37.5273235
2층약국,81,약국,220000,인천,220007,인천연수구,송도동,22006,"인천광역시 연수구 아트센터대로168번길 101, 송도랜드마크푸르지오시티 251호 (송도동)",,2023-03-08,126.6279733,37.4052932
2층약국,81,약국,310000,경기,310702,안양동안구,호계동,14126,"경기도 안양시 동안구 경수대로 428, 214호 (호계동, 덕유파크)",031-427-1350,2015-01-08,126.9625171,37.3622378
2층약국,81,약국,110000,서울,110001,강남구,개포동,06320,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",02-2057-2003,2023-05-03,127.0544858,37.4824625
2층약국,81,약국,310000,경기,312001,용인기흥구,영덕동,16954,"경기도 용인시 기흥구 흥덕2로87번길 18, 이씨티 C동 207호 (영덕동)",031-831-1171,2024-04-16,127.0718775,37.2758482
2층엔약국,81,약국,210000,부산,210014,부산수영구,남천동,48318,"부산광역시 수영구 수영로 389, 상가동 213호 (남천동, 더샵 남천프레스티지)",,2023-09-27,,
2층엔약국,81,약국,310000,경기,311500,남양주시,다산동,12248,"경기도 남양주시 다산중앙로123번길 22-30, 다산 헤리움 그랑비스타 2차 214호 (다산동)",031-565-8875,2021-04-02,,
2층엔약국,81,약국,110000,서울,110005,구로구,개봉동,08277,"서울특별시 구로구 개봉로24길 46, 209호 (개봉동, 신영지웰 에스테이트 개봉역)",,2024-08-23,126.8576298,37.4955916
2층우리약국,81,약국,310000,경기,310800,의정부시,호원동,11631,"경기도 의정부시 호동로 67, 화성프라자 2층 207호 (호원동)",855-8454,2019-03-18,127.0433266,37.7279274
2층은약국,81,약국,110000,서울,110008,동작구,흑석동,06904,"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",02-6484-8248,2020-05-01,126.9638593,37.5097591
2층은약국,81,약국,110000,서울,110021,서초구,반포동,06599,"서울특별시 서초구 서초중앙로 230, 2층 208호 (반포동, 동화반포프라자상가)",02-533-2440,2014-04-07,127.0120781,37.5021689
2층정약국,81,약국,110000,서울,110013,영등포구,여의도동,07333,"서울특별시 영등포구 여의대방로 383, 경도빌딩 2층 215,216호 (여의도동)",02-780-0304,2023-08-18,126.9315136,37.5193464
2층종로약국,81,약국,110000,서울,110015,은평구,불광동,03345,"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",02-525-5603,2021-08-13,126.9216803,37.6197065
2층푸른약국,81,약국,310000,경기,311901,고양덕양구,도내동,10551,"경기도 고양시 덕양구 권율대로 512, 원흥퍼스트푸르지오시티 (도내동)",031-969-3545,2021-10-05,126.8703619,37.6362883
2층하늘약국,81,약국,110000,서울,110009,마포구,중동,03941,"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",02-303-4290,2015-07-01,126.9038462,37.5701536
2층하늘약국,81,약국,380000,경남,380704,창원의창구,북면,51106,"경상남도 창원시 의창구 북면 동곡로 9, 2층 202호",055-294-7277,2017-07-19,128.5852833,35.3172276
2호선 아산 나나약국,81,약국,110000,서울,110018,송파구,신천동,05504,"서울특별시 송파구 오금로 20, 잠실나루역 1층 002호 (신천동)",02-417-3222,2021-05-31,127.1038110,37.5206867
365 대기없는 약국,81,약국,240000,광주,240001,광주동구,서석동,61468,"광주광역시 동구 백서로 157, (서석동)",070-4833-4222,2022-09-05,126.9222535,35.1432674
365 새누리약국,81,약국,110000,서울,110020,양천구,목동,07965,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",02-2648-1858,2019-01-14,126.8641657,37.5328886
365 소룡백제약국,81,약국,350000,전북,350100,군산시,소룡동,54013,"전북특별자치도 군산시 공단대로 601, (소룡동)",063-464-7577,2004-05-03,126.6807624,35.9722246
365 아이맘약국,81,약국,320000,강원,320500,춘천시,동면,24209,"강원특별자치도 춘천시 동면 춘천순환로 609, (동면)",033-264-6577,1986-09-29,127.7556521,37.8931719
365 열린 약국,81,약국,340000,충남,340500,아산시,모종동,31522,"충청남도 아산시 번영로 223, 4층 (모종동, 아산동양고속터미널복합시설)",041-533-9610,2017-01-18,127.0152216,36.7848546
365 열린큰약국,81,약국,310000,경기,312002,용인수지구,성복동,16847,"경기도 용인시 수지구 성복2로 38, 성복역 롯데캐슬 골드타운 지상2층 약국코너호 (성복동)",,2021-05-31,127.0816130,37.3128099
365 열시약국,81,약국,240000,광주,240002,광주북구,각화동,61137,"광주광역시 북구 군왕로 297, 365 열시약국 (각화동)",,2023-01-10,126.9358542,35.1870944
365 우리약국,81,약국,360000,전남,360200,나주시,빛가람동,58217,"전라남도 나주시 전력로 2, 114호 (빛가람동, 이화프라자)",061-333-8228,2017-09-04,126.7853310,35.0215717
365 종로약국,81,약국,360000,전남,360200,나주시,대호동,58244,"전라남도 나주시 대호길 85-1, 1층 (대호동)",,2020-10-05,126.7171204,35.0427314
365강남역약국,81,약국,110000,서울,110001,강남구,역삼동,06232,"서울특별시 강남구 강남대로 396, 강남역 103-104호 (역삼동)",02-554-5628,2023-06-22,127.0283079,37.4981647
365건강약국,81,약국,220000,인천,220008,인천계양구,임학동,21034,"인천광역시 계양구 장제로 867, (임학동)",032-555-1801,2014-02-09,126.7380570,37.5447518
365건강온누리약국,81,약국,390000,제주,390200,제주시,이도일동,63198,"제주특별자치도 제주시 서광로 301, 1층 (이도일동)",064-755-3157,2019-09-27,126.5284354,33.5008259
365검단우리약국,81,약국,220000,인천,220005,인천서구,원당동,22866,"인천광역시 서구 발산로5번길 12, 인천검단 엔젤리움1차 윈팰리스 107호 (원당동)",,2023-05-04,126.7110779,37.5933735
365고운약국,81,약국,110000,서울,110021,서초구,서초동,06634,"서울특별시 서초구 서초중앙로22길 25, 118호 (서초동, 서초리시온)",,2024-02-29,127.0154540,37.4934782
365구름약국,81,약국,310000,경기,310602,수원장안구,송죽동,16303,"경기도 수원시 장안구 경수대로 979, 2층 (송죽동)",031-309-8117,2024-01-29,127.0037753,37.3045254
365구생약국,81,약국,110000,서울,110015,은평구,대조동,03396,"서울특별시 은평구 통일로 739, 1층 (대조동)",02-353-1144,2020-05-12,,
365그랜드약국,81,약국,110000,서울,110025,금천구,시흥동,08626,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223,2022-07-08,126.9017344,37.4558772
365그랜드온누리약국,81,약국,220000,인천,220003,인천부평구,산곡동,21362,"인천광역시 부평구 마장로 314, 성수빌딩 101호 (산곡동)",032-710-3657,2023-11-20,126.7036945,37.5060351
365그린약국,81,약국,110000,서울,110003,강서구,화곡동,07774,"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",02-2602-8006,2016-11-11,126.8465161,37.5315298
365그린약국,81,약국,310000,경기,310403,성남분당구,금곡동,13615,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 2층 231호 (금곡동)",031-717-2267,2020-06-04,127.1083309,37.3507480
365남문약국,81,약국,310000,경기,310603,수원팔달구,팔달로2가,16261,"경기도 수원시 팔달구 정조로 789, (팔달로2가)",031-251-5558,2022-09-23,127.0165076,37.2785505
365녹십자약국,81,약국,310000,경기,311200,평택시,통복동,17911,"경기도 평택시 중앙로 2, (통복동)",031-652-3307,2016-12-13,127.0835289,36.9954122
365논현약국,81,약국,220000,인천,220006,인천남동구,논현동,21653,"인천광역시 남동구 청능대로 575, 1층 일부(124,125)호 (논현동)",032-421-9957,2024-08-08,126.7227053,37.4011243
365달빛약국,81,약국,310000,경기,310702,안양동안구,비산동,13954,"경기도 안양시 동안구 경수대로 876, 1층 일부(4,5)호 (비산동)",031-385-3856,2024-08-21,126.9390784,37.3965545
365담이약국,81,약국,310000,경기,311700,시흥시,장곡동,14996,"경기도 시흥시 황고개로 530, 107호 (장곡동)",,2022-05-09,126.7892647,37.3782230
365대형약국,81,약국,320000,강원,320500,춘천시,동내면,24408,"강원특별자치도 춘천시 동내면 영서로 1794, 1층",,2024-08-02,127.7598286,37.8368980
365돌고래약국,81,약국,310000,경기,310604,수원영통구,원천동,16515,"경기도 수원시 영통구 광교호수공원로 20, 제판매시설동 제지2층 제B2-20B호 (원천동, 더샵 광교레이크시티)",031-546-0640,2024-12-03,,
365동서약국,81,약국,310000,경기,311000,구리시,수택동,11927,"경기도 구리시 체육관로 162, (수택동, 온누리약국)",031-552-4289,2017-05-01,127.1364294,37.5990303
365드림약국,81,약국,310000,경기,310800,의정부시,민락동,11813,"경기도 의정부시 천보로 44, 8층 804호 (민락동)",031-8092-2365,2017-11-03,127.0963397,37.7443257
365드림약국,81,약국,310000,경기,311500,남양주시,호평동,12149,"경기도 남양주시 늘을1로16번길 25, 1층 3, 4호 (호평동, 성보빌딩)",031-594-3652,2012-01-20,127.2428881,37.6540709
365라피에스타약국,81,약국,220000,인천,220006,인천남동구,논현동,21679,"인천광역시 남동구 논고개로 61, 라피에스타 (논현동)",032-255-7000,2018-11-19,126.7275277,37.3975366
365마리나약국,81,약국,220000,인천,220007,인천연수구,송도동,22018,"인천광역시 연수구 랜드마크로 110, 근린생활시설1동 115호 (송도동, 송도 오션파크 베르디움)",032-858-1133,2024-05-21,126.6158059,37.4152393
365마트약국,81,약국,110000,서울,110013,영등포구,영등포동8가,07228,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",02-2633-4865,2022-01-03,126.9046989,37.5278091
365매일약국,81,약국,390000,제주,390200,제주시,화북일동,63288,"제주특별자치도 제주시 일주동로 227, (화북일동)",064-702-3172,2015-06-01,126.5697850,33.5194244
365매일약국,81,약국,220000,인천,220005,인천서구,당하동,22869,"인천광역시 서구 이음3로 145, 104호 (당하동)",032-566-6005,2025-02-27,126.7080419,37.5888543
365매일약국,81,약국,380000,경남,381100,양산시,물금읍,50653,"경상남도 양산시 물금읍 백호로 92, A동 1층 107호",055-383-5613,2022-04-19,129.0037808,35.3163134
365명지약국,81,약국,210000,부산,210012,부산강서구,명지동,46726,"부산광역시 강서구 명지국제2로28번길 3, 108호 (명지동)",051-271-0365,2022-12-07,128.9076702,35.0940846
365문화전당약국,81,약국,240000,광주,240001,광주동구,광산동,61487,"광주광역시 동구 서석로 46, 1층 (광산동)",,2020-01-15,126.9185240,35.1466011
365물금약국,81,약국,380000,경남,381100,양산시,물금읍,50611,"경상남도 양산시 물금읍 범구로 27, 102호",070-8211-0773,2024-06-07,129.0145171,35.3272070
365미소약국,81,약국,110000,서울,110015,은평구,진관동,03300,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",02-387-1123,2019-03-04,126.9182748,37.6394039
